,Headline,Date,URL,Company
0,Intuitive Surgical Inc. stock outperforms market on strong trading day,2023-04-19 17:02:00,https://www.marketwatch.com/data-news/intuitive-surgical-inc-stock-outperforms-market-on-strong-trading-day-f93abc5b-ac32f56369c3?mod=mw_quote_news,isrg
1,"Tesla and Netflix stocks fall, Western Alliance shares surge, and other stocks on the move",2023-04-19 07:40:00,https://www.marketwatch.com/story/tesla-netflix-stocks-fall-western-alliance-shares-surge-and-other-stocks-on-the-move-268c7770?mod=mw_quote_news,isrg
2,Intuitive Stock Soars Most in 3 Years as Robotic Surgery Grows. Analysts See Upside Ahead.,2023-04-19 08:58:00,https://www.marketwatch.com/articles/intuitive-earnings-robotic-surgery-stock-isrg-959141ed?mod=mw_quote_news,isrg
3,"S&P 500 Futures Fall in Premarket Trading; CDW Corp., Logitech International Lag",2023-04-19 07:30:00,https://www.marketwatch.com/articles/s-p-500-futures-fall-in-premarket-trading-cdw-corp-logitech-international-lag-62e431c3?mod=mw_quote_news,isrg
4,"Stocks to Watch: Western Alliance, Intuitive Surgical",2023-04-18 18:41:00,https://www.marketwatch.com/story/stocks-to-watch-western-alliance-intuitive-surgical-87b13580?mod=mw_quote_news,isrg
5,Intuitive Surgical stock rallies after earnings beat,2023-04-18 17:34:00,https://www.marketwatch.com/story/intuitive-surgical-stock-rallies-after-earnings-beat-6b891a57?mod=mw_quote_news,isrg
6,Intuitive Surgical Stock Climbs 8% on Robotic Surgery System Growth,2023-04-18 17:14:00,https://www.marketwatch.com/story/intuitive-surgical-stock-climbs-8-on-robotic-surgery-system-growth-7b9a0603?mod=mw_quote_news,isrg
7,Intuitive Surgical Inc. stock outperforms market on strong trading day,2023-04-18 17:02:00,https://www.marketwatch.com/data-news/intuitive-surgical-inc-stock-outperforms-market-on-strong-trading-day-8e3d8ccd-926196cda8bc?mod=mw_quote_news,isrg
8,Intuitive Surgical Posts 1Q Revenue Beat,2023-04-18 16:41:00,https://www.marketwatch.com/story/intuitive-surgical-posts-1q-revenue-beat-dab19d2d?mod=mw_quote_news,isrg
9,Intuitive Surgical Inc. stock underperforms Monday when compared to competitors despite daily gains,2023-04-17 17:02:00,https://www.marketwatch.com/data-news/intuitive-surgical-inc-stock-underperforms-monday-when-compared-to-competitors-despite-daily-gains-1e82915c-1776133df1a4?mod=mw_quote_news,isrg
10,Intuitive Surgical Inc. stock outperforms competitors on strong trading day,2023-04-14 17:02:00,https://www.marketwatch.com/data-news/intuitive-surgical-inc-stock-outperforms-competitors-on-strong-trading-day-878bc0e6-c8e8590abb05?mod=mw_quote_news,isrg
11,Intuitive Surgical Inc. stock outperforms competitors on strong trading day,2023-04-13 17:02:00,https://www.marketwatch.com/data-news/intuitive-surgical-inc-stock-outperforms-competitors-on-strong-trading-day-19ef5545-5963470dbeaa?mod=mw_quote_news,isrg
12,"China’s Lunar New Year celebrations raise concerns about COVID spread, while officials say peak is past",2023-01-25 10:16:00,https://www.marketwatch.com/story/chinas-lunar-new-year-celebrations-raise-concerns-about-covid-spread-while-officials-say-peak-is-past-11674659823?mod=mw_quote_news,isrg
13,"These Stocks Moved the Most Today: AT&T, Microsoft, Shopify, Capital One, and More",2023-01-25 05:25:00,https://www.marketwatch.com/articles/stock-market-movers-microsoft-tesla-texas-instruments-51674576220?mod=mw_quote_news,isrg
14,"Intuitive Surgical stock drops 10%, COVID resurgence hobbles sales",2023-01-24 17:27:00,https://www.marketwatch.com/story/intuitive-surgical-stock-drops-10-covid-resurgence-hobbles-sales-01674599258?mod=mw_quote_news,isrg
15,Intuitive Surgical stocks sinks after revenue outlook comes up shy of expectations,2023-01-11 12:22:00,https://www.marketwatch.com/story/intuitive-surgical-stocks-sinks-after-revenue-outlook-comes-up-shy-of-expectations-01673457758?mod=mw_quote_news,isrg
16,Why Medtronic Stock Soared More Than 4% Higher Today,2023-04-19 11:12:00,https://www.fool.com/investing/2023/04/19/why-medtronic-stock-soared-more-than-4-higher-toda/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,isrg
17,Why Intuitive Surgical Stock Is Soaring Today,2023-04-19 05:30:00,https://www.fool.com/investing/2023/04/19/why-intuitive-surgical-stock-is-soaring-today/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,isrg
18,"Netflix Reports, But Investors Are Happier About These 2 Other Stocks",2023-04-18 12:28:00,https://www.fool.com/investing/2023/04/18/netflix-reports-but-investors-are-happier-about-th/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,isrg
