,Headline,Date,URL,Company
0,SAIC Targets Revenue Growth Through Fiscal 2026,2023-04-11 09:56:00,https://www.marketwatch.com/story/saic-targets-revenue-growth-through-fiscal-2026-d50c5af?mod=mw_quote_news,saic
1,"Science Applications 4Q Earnings Beat Expectations, Get Boost From Contract Profitability",2023-04-03 07:33:00,https://www.marketwatch.com/story/science-applications-4q-earnings-beat-expectations-get-boost-from-contract-profitability-1c7c5ad4?mod=mw_quote_news,saic
2,SAIC Agrees to Sell Supply-Chain Arm for $350 Million,2023-03-23 16:45:00,https://www.marketwatch.com/story/saic-agrees-to-sell-supply-chain-arm-for-350-million-bd38c155?mod=mw_quote_news,saic
3,Stifel relaunches defense stock coverage as Ukraine war rages,2022-03-18 09:16:00,https://www.marketwatch.com/story/stifel-relaunches-defense-stock-coverage-as-ukraine-war-rages-11647609390?mod=mw_quote_news,saic
4,Boeing Stock Is Downgraded. The Commercial Aerospace Story ‘Has Collapsed.’,2020-04-20 13:52:00,https://www.marketwatch.com/articles/boeing-stock-downgraded-commercial-aerospace-defense-covid-19-737-max-earnings-51587404928?mod=mw_quote_news,saic
5,"Science Applications posts Q4 profit, sales miss",2020-03-26 16:43:00,https://www.marketwatch.com/story/science-applications-posts-q4-profit-sales-miss-2020-03-26?mod=mw_quote_news,saic
6,Unisys Stock Soars as the Company Sells Its Government-Services Unit for $1.2 Billion,2020-02-06 14:59:00,https://www.marketwatch.com/articles/unisys-stock-soars-government-services-unit-debt-pension-obligations-51581018942?mod=mw_quote_news,saic
7,Unisys's stock rockets toward best day in nearly 11 years after after detailing use of asset sale proceeds,2020-02-06 12:27:00,https://www.marketwatch.com/story/unisyss-stock-rockets-toward-best-day-in-nearly-11-years-after-after-detailing-use-of-asset-sale-proceeds-2020-02-06?mod=mw_quote_news,saic
8,Unisys's stock soars after $1.2 billion sale of U.S. Federal business,2020-02-06 07:28:00,https://www.marketwatch.com/story/unisyss-stock-soars-after-12-billion-sale-of-us-federal-business-2020-02-06?mod=mw_quote_news,saic
9,"Buy Royal Caribbean Even Though Coronavirus Fears Are Slamming the Stock, Scott Black Says",2020-01-24 18:09:00,https://www.marketwatch.com/articles/buy-royal-caribbean-even-though-coronavirus-fears-are-slamming-the-stock-scott-black-says-51579907382?mod=mw_quote_news,saic
10,"Deere, Chevron, and 30 Other Stock Picks From the Barron’s Roundtable",2020-01-24 18:07:00,https://www.marketwatch.com/articles/32-timely-investment-ideas-from-barrons-2020-roundtable-panelists-51579907260?mod=mw_quote_news,saic
