,Headline,Date,URL,Company
0,"Gartner Inc. stock falls Wednesday, underperforms market",2023-04-19 17:02:00,https://www.marketwatch.com/data-news/gartner-inc-stock-falls-wednesday-underperforms-market-c80f8219-7390e5408308?mod=mw_quote_news,it
1,Gartner Inc. stock underperforms Tuesday when compared to competitors,2023-04-18 17:02:00,https://www.marketwatch.com/data-news/gartner-inc-stock-underperforms-tuesday-when-compared-to-competitors-bf08b28f-edf15fa27aa3?mod=mw_quote_news,it
2,"Gartner Inc. stock rises Monday, outperforms market",2023-04-17 17:02:00,https://www.marketwatch.com/data-news/gartner-inc-stock-rises-monday-outperforms-market-2fb7af1e-4aa02452cded?mod=mw_quote_news,it
3,Gartner Inc. stock underperforms Friday when compared to competitors,2023-04-14 17:02:00,https://www.marketwatch.com/data-news/gartner-inc-stock-underperforms-friday-when-compared-to-competitors-b6befea4-b735016fe797?mod=mw_quote_news,it
4,"Gartner Inc. stock rises Thursday, still underperforms market",2023-04-13 17:02:00,https://www.marketwatch.com/data-news/gartner-inc-stock-rises-thursday-still-underperforms-market-28da6b07-4e2960176281?mod=mw_quote_news,it
5,Gartner Posts Higher 4Q Revenue as Conferences Rebound,2023-02-07 06:11:00,https://www.marketwatch.com/story/gartner-posts-higher-4q-revenue-as-conferences-rebound-271675768296?mod=mw_quote_news,it
6,"Gartner Stock Is Rallying. Earnings Were Strong, and Guidance Is Upbeat.",2021-11-02 12:01:00,https://www.marketwatch.com/articles/gartner-stock-earnings-51635868829?mod=mw_quote_news,it
7,IBM Reports Earnings Today. Here’s What to Expect.,2021-07-16 17:21:00,https://www.marketwatch.com/articles/ibm-earnings-what-to-expect-51626470375?mod=mw_quote_news,it
8,SAP CEO shares new plans to boost cloud adoption,2021-01-28 01:55:00,https://www.marketwatch.com/story/sap-ceo-shares-new-plans-to-boost-cloud-adoption-2021-01-28?mod=mw_quote_news,it
9,Opinion: Companies whose board members are also major shareholders typically outperform. Here’s how to find them,2020-11-11 12:58:00,https://www.marketwatch.com/story/click-here-on-a-companys-website-for-clues-about-how-the-stock-will-perform-2020-11-11?mod=mw_quote_news,it
10,Gartner Stock Soars as IT Consulting Firm Posts Beat-and-Raise Quarter,2020-11-03 12:22:00,https://www.marketwatch.com/articles/gartner-stock-soars-as-it-consulting-firm-posts-beat-and-raise-quarter-51604424132?mod=mw_quote_news,it
11,"Gartner profit, revenue fall but beat expectations",2020-11-03 06:54:00,https://www.marketwatch.com/story/gartner-profit-revenue-fall-but-beat-expectations-2020-11-03?mod=mw_quote_news,it
12,This Mid-Cap Stock Fund Wins With Warren Buffett’s Strategy,2020-10-28 06:00:00,https://www.marketwatch.com/articles/this-mid-cap-stock-fund-wins-with-warren-buffetts-strategy-51603834906?mod=mw_quote_news,it
13,PC demand hits biggest growth in more than a decade thanks to the pandemic,2020-10-12 16:20:00,https://www.marketwatch.com/story/pandemic-computing-created-strongest-demand-for-pcs-in-more-than-a-decade-analyses-show-11602534008?mod=mw_quote_news,it
14,Al Gore’s Firm Discloses Large Stake in Gartner,2020-04-29 07:45:00,https://www.marketwatch.com/articles/al-gores-firm-discloses-large-stake-in-gartner-stock-51588160701?mod=mw_quote_news,it
15,Here are Thursday’s best-performing stocks as the Dow Jones Industrial Average produces a three-day gain of 21%,2020-03-27 06:43:00,https://www.marketwatch.com/story/here-are-thursdays-best-performing-stocks-as-the-dow-jones-industrial-average-produces-a-three-day-gain-of-21-2020-03-26?mod=mw_quote_news,it
16,"Coronavirus update: Global cases hit 451,355 with 20,499 deaths, and New York rate of infection is accelerating",2020-03-25 15:05:00,https://www.marketwatch.com/story/coronavirus-update-438749-cases-19675-deaths-new-york-rate-of-infection-is-accelerating-2020-03-25?mod=mw_quote_news,it
17,Why Zscaler Stock Had a Jolly Thursday on the Market,2023-04-13 12:14:00,https://www.fool.com/investing/2023/04/13/why-zscaler-stock-had-a-jolly-thursday-on-the-mark/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,it
